"company","tikr","price"
"Xtant Medical Holdings, Inc.","XTNT",0.58
"Yum! Brands, Inc.","YUM",135.37
"Xinyuan Real Estate Co. Ltd.","XIN",0.74
"Yiren Digital Ltd.","YRD",3.14
"ZoomInfo Technologies, Inc.","ZI",52.39
"Wyndham Hotels & Resorts, Inc.","WH",88.45
"Yext, Inc.","YEXT",9.04
"Wynn Resorts Ltd.","WYNN",84.53
"WisdomTree Investments, Inc.","WETF",6.46
"Zillow Group, Inc.","ZG",55.11
"Workhorse Group, Inc.","WKHS",4.1
"WISeKey International Holding Ltd.","WKEY",4.37
"Wrap Technologies, Inc.","WRAP",4.11
"Zions Bancorporation, NA","ZION",70.09
"Xunlei Ltd.","XNET",1.88
"X Financial","XYF",3
"World Wrestling Entertainment, Inc.","WWE",50.04
"Zai Lab Ltd.","ZLAB",55.07
"Zymeworks, Inc.","ZYME",14.1
"XPeng, Inc.","XPEV",45.03
"Yellow Corp.","YELL",10.94
"Zynga, Inc.","ZNGA",6.01
"Zillow Group, Inc.","Z",56.7
"Wireless Telecom Group, Inc.","WTT",2.08
"Zogenix, Inc.","ZGNX",16.42
"YPF SA","YPF",4.03
"Yelp, Inc.","YELP",35.28
"ZK International Group Co., Ltd.","ZKIN",1.35
"Willis Towers Watson Plc","WLTW",231.55
"Wix.com Ltd.","WIX",144.83
"Cree, Inc.","WOLF",108.93
"WillScot Mobile Mini Holdings Corp.","WSC",38.11
"WSFS Financial Corp.","WSFS",55.3
"XTL Biopharmaceuticals Ltd.","XTLB",2.7
"Zuora, Inc.","ZUO",16.53
"Zscaler, Inc.","ZS",261.7
"Winnebago Industries, Inc.","WGO",77.42
"Zepp Health Corp.","ZEPP",5.04
"Yum China Holdings, Inc.","YUMC",49.66
"Workday, Inc.","WDAY",250.28
"Xenetic Biosciences, Inc.","XBIO",1.27
"Zosano Pharma Corp.","ZSAN",0.5
"ZIM Integrated Shipping Services Ltd.","ZIM",56.62
"XpresSpa Group, Inc.","XSPA",1.87
"Xperi Holding Corp.","XPER",18.67
"Zovio, Inc.","ZVO",1.3
"Zomedica Corp.","ZOM",0.32
"Yunji, Inc.","YJ",0.59
"ZIOPHARM Oncology, Inc.","ZIOP",1
"XBiotech, Inc.","XBIT",11.34
"Zoetis, Inc.","ZTS",211.1
"ZW Data Action Technologies, Inc.","CNET",0.96
"Zoom Video Communications, Inc.","ZM",171.66
"Xcel Energy, Inc.","XEL",69.11
"Xenon Pharmaceuticals, Inc.","XENE",30.56
"Zhangmen Education Inc - ADR","ZME",2.1
"Xylem, Inc.","XYL",115.39
"Yamana Gold, Inc.","AUY",3.9
"XPO Logistics, Inc.","XPO",71.41
"Akso Health Group - ADR","HX",1.55
"Zynex, Inc.","ZYXI",8.46
"XL Fleet Corp.","XL",2.96
"ZTO Express (Cayman), Inc.","ZTO",28.14
"Zhongchao, Inc.","ZCMD",1.73
"Xeris Pharmaceuticals, Inc.","XERS",2.56
"Zenvia, Inc.","ZENV",6.04
"XCel Brands, Inc.","XELB",1.23
