"","company","tikr","price"
"1","Xtant Medical Holdings, Inc.","XTNT",0.58
"2","Yum! Brands, Inc.","YUM",135.37
"3","Xinyuan Real Estate Co. Ltd.","XIN",0.74
"4","Yiren Digital Ltd.","YRD",3.14
"5","ZoomInfo Technologies, Inc.","ZI",52.39
"6","Wyndham Hotels & Resorts, Inc.","WH",88.45
"7","Yext, Inc.","YEXT",9.04
"8","Wynn Resorts Ltd.","WYNN",84.53
"9","WisdomTree Investments, Inc.","WETF",6.46
"10","Zillow Group, Inc.","ZG",55.11
"11","Workhorse Group, Inc.","WKHS",4.1
"12","WISeKey International Holding Ltd.","WKEY",4.37
"13","Wrap Technologies, Inc.","WRAP",4.11
"14","Zions Bancorporation, NA","ZION",70.09
"15","Xunlei Ltd.","XNET",1.88
"16","X Financial","XYF",3
"17","World Wrestling Entertainment, Inc.","WWE",50.04
"18","Zai Lab Ltd.","ZLAB",55.07
"19","Zymeworks, Inc.","ZYME",14.1
"20","XPeng, Inc.","XPEV",45.03
"21","Yellow Corp.","YELL",10.94
"22","Zynga, Inc.","ZNGA",6.01
"23","Zillow Group, Inc.","Z",56.7
"24","Wireless Telecom Group, Inc.","WTT",2.08
"25","Zogenix, Inc.","ZGNX",16.42
"26","YPF SA","YPF",4.03
"27","Yelp, Inc.","YELP",35.28
"28","ZK International Group Co., Ltd.","ZKIN",1.35
"29","Willis Towers Watson Plc","WLTW",231.55
"30","Wix.com Ltd.","WIX",144.83
"31","Cree, Inc.","WOLF",108.93
"32","WillScot Mobile Mini Holdings Corp.","WSC",38.11
"33","WSFS Financial Corp.","WSFS",55.3
"34","XTL Biopharmaceuticals Ltd.","XTLB",2.7
"35","Zuora, Inc.","ZUO",16.53
"36","Zscaler, Inc.","ZS",261.7
"37","Winnebago Industries, Inc.","WGO",77.42
"38","Zepp Health Corp.","ZEPP",5.04
"39","Yum China Holdings, Inc.","YUMC",49.66
"40","Workday, Inc.","WDAY",250.28
"41","Xenetic Biosciences, Inc.","XBIO",1.27
"42","Zosano Pharma Corp.","ZSAN",0.5
"43","ZIM Integrated Shipping Services Ltd.","ZIM",56.62
"44","XpresSpa Group, Inc.","XSPA",1.87
"45","Xperi Holding Corp.","XPER",18.67
"46","Zovio, Inc.","ZVO",1.3
"47","Zomedica Corp.","ZOM",0.32
"48","Yunji, Inc.","YJ",0.59
"49","ZIOPHARM Oncology, Inc.","ZIOP",1
"50","XBiotech, Inc.","XBIT",11.34
"51","Zoetis, Inc.","ZTS",211.1
"52","ZW Data Action Technologies, Inc.","CNET",0.96
"53","Zoom Video Communications, Inc.","ZM",171.66
"54","Xcel Energy, Inc.","XEL",69.11
"55","Xenon Pharmaceuticals, Inc.","XENE",30.56
"56","Zhangmen Education Inc - ADR","ZME",2.1
"57","Xylem, Inc.","XYL",115.39
"58","Yamana Gold, Inc.","AUY",3.9
"59","XPO Logistics, Inc.","XPO",71.41
"60","Akso Health Group - ADR","HX",1.55
"61","Zynex, Inc.","ZYXI",8.46
"62","XL Fleet Corp.","XL",2.96
"63","ZTO Express (Cayman), Inc.","ZTO",28.14
"64","Zhongchao, Inc.","ZCMD",1.73
"65","Xeris Pharmaceuticals, Inc.","XERS",2.56
"66","Zenvia, Inc.","ZENV",6.04
"67","XCel Brands, Inc.","XELB",1.23
