"company" "tikr" "price" "country" "mrkt"
"Xtant Medical Holdings, Inc." "XTNT" 0.58 "US" "XASE"
"Yum! Brands, Inc." "YUM" 135.37 "CA" NA
"Xinyuan Real Estate Co. Ltd." "XIN" 0.74 "US" "XNYS"
"Yiren Digital Ltd." "YRD" 3.14 "US" "XNYS"
"ZoomInfo Technologies, Inc." "ZI" 52.39 "US" "XNAS"
"Wyndham Hotels & Resorts, Inc." "WH" 88.45 "US" "XNYS"
"Yext, Inc." "YEXT" 9.04 "US" "XNYS"
"Wynn Resorts Ltd." "WYNN" 84.53 "US" "XNAS"
"WisdomTree Investments, Inc." "WETF" 6.46 "US" "XNAS"
"Zillow Group, Inc." "ZG" 55.11 "US" "XNAS"
"Workhorse Group, Inc." "WKHS" 4.1 "US" "XNAS"
"WISeKey International Holding Ltd." "WKEY" 4.37 "US" "XNAS"
"Wrap Technologies, Inc." "WRAP" 4.11 NA NA
"Zions Bancorporation, NA" "ZION" 70.09 "US" "XNAS"
"Xunlei Ltd." "XNET" 1.88 "US" "XNAS"
"X Financial" "XYF" 3 "US" "XNYS"
"World Wrestling Entertainment, Inc." "WWE" 50.04 "US" "XNYS"
"Zai Lab Ltd." "ZLAB" 55.07 "US" "XNAS"
"Zymeworks, Inc." "ZYME" 14.1 "CA" NA
"XPeng, Inc." "XPEV" 45.03 "US" "XNYS"
"Yellow Corp." "YELL" 10.94 "US" "XNAS"
"Zynga, Inc." "ZNGA" 6.01 "US" "XNAS"
"Zillow Group, Inc." "Z" 56.7 "CA" NA
"Wireless Telecom Group, Inc." "WTT" 2.08 "US" "XASE"
"Zogenix, Inc." "ZGNX" 16.42 "US" "XNAS"
"YPF SA" "YPF" 4.03 "US" "XNYS"
"Yelp, Inc." "YELP" 35.28 "US" "XNYS"
"ZK International Group Co., Ltd." "ZKIN" 1.35 "US" "XNAS"
"Willis Towers Watson Plc" "WLTW" 231.55 "US" "XNAS"
"Wix.com Ltd." "WIX" 144.83 "LN" NA
"Cree, Inc." "WOLF" 108.93 "US" "XNYS"
"WillScot Mobile Mini Holdings Corp." "WSC" 38.11 "US" "XNAS"
"WSFS Financial Corp." "WSFS" 55.3 "US" "XNAS"
"XTL Biopharmaceuticals Ltd." "XTLB" 2.7 "US" "XNAS"
"Zuora, Inc." "ZUO" 16.53 "US" "XNYS"
"Zscaler, Inc." "ZS" 261.7 "US" "XNAS"
"Winnebago Industries, Inc." "WGO" 77.42 "AU" NA
"Zepp Health Corp." "ZEPP" 5.04 "US" "XNYS"
"Yum China Holdings, Inc." "YUMC" 49.66 "US" "XNYS"
"Workday, Inc." "WDAY" 250.28 "US" "XNAS"
"Xenetic Biosciences, Inc." "XBIO" 1.27 "US" "XNAS"
"Zosano Pharma Corp." "ZSAN" 0.5 "US" "XNAS"
"ZIM Integrated Shipping Services Ltd." "ZIM" 56.62 "AU" NA
"XpresSpa Group, Inc." "XSPA" 1.87 "US" "XNAS"
"Xperi Holding Corp." "XPER" 18.67 "US" "XNAS"
"Zovio, Inc." "ZVO" 1.3 "US" "XNAS"
"Zomedica Corp." "ZOM" 0.32 "CA" NA
"Yunji, Inc." "YJ" 0.59 "US" "XNAS"
"ZIOPHARM Oncology, Inc." "ZIOP" 1 "US" "XNAS"
"XBiotech, Inc." "XBIT" 11.34 "US" "XNAS"
"Zoetis, Inc." "ZTS" 211.1 "US" "XNYS"
"ZW Data Action Technologies, Inc." "CNET" 0.96 "US" "XNAS"
"Zoom Video Communications, Inc." "ZM" 171.66 "US" "XNAS"
"Xcel Energy, Inc." "XEL" 69.11 "US" "XNAS"
"Xenon Pharmaceuticals, Inc." "XENE" 30.56 "US" "XNAS"
"Zhangmen Education Inc - ADR" "ZME" 2.1 "US" "XNYS"
"Xylem, Inc." "XYL" 115.39 "US" "XNYS"
"Yamana Gold, Inc." "AUY" 3.9 "US" "XNYS"
"XPO Logistics, Inc." "XPO" 71.41 "US" "XNYS"
"Akso Health Group - ADR" "HX" 1.55 "US" "XNAS"
"Zynex, Inc." "ZYXI" 8.46 "US" "XNAS"
"XL Fleet Corp." "XL" 2.96 "CA" NA
"ZTO Express (Cayman), Inc." "ZTO" 28.14 "US" "XNYS"
"Zhongchao, Inc." "ZCMD" 1.73 "US" "XNAS"
"Xeris Pharmaceuticals, Inc." "XERS" 2.56 "US" "XNAS"
"Zenvia, Inc." "ZENV" 6.04 "US" "XNAS"
"XCel Brands, Inc." "XELB" 1.23 "US" "XNAS"
"Zealand Pharma A/S" "ZEAL" 21.26 "US" "XNAS"
"WiMi Hologram Cloud, Inc." "WIMI" 2.82 "US" "XNAS"
"Xilinx, Inc." "XLNX" 192.99 "US" "XNAS"
"Xerox Holdings Corp." "XRX" 23.7 "CA" NA
"Xenia Hotels & Resorts, Inc." "XHR" 18.36 "US" "XNYS"
"Youdao, Inc." "DAO" 12.63 "US" "XNYS"
"Zhihu, Inc." "ZH" 4.97 "US" "XNYS"
"WPP Plc" "WPP" 78.91 "LN" NA
"YETI Holdings, Inc." "YETI" 74.24 "US" "XNYS"
"Yunhong CTI Ltd." "CTIB" 1.26 "US" "XNAS"
"Zendesk, Inc." "ZEN" 97.99 "LN" NA
"XP Inc - Ordinary Shares - Class A" "XP" 27.75 "US" "XNAS"
"Zynerba Pharmaceuticals, Inc." "ZYNE" 2.69 "US" "XNAS"
"Wingstop, Inc." "WING" 163.75 "US" "XNAS"
"Zimmer Biomet Holdings, Inc." "ZBH" 128.15 "US" "XNYS"
"Yatsen Holding Ltd." "YSG" 1.9 "US" "XNYS"
"WW International, Inc." "WW" 15.19 "US" "XNAS"
"AudioCodes Ltd." "AUDC" 33.49 "US" "XNAS"
"AtriCure, Inc." "ATRC" 61.62 "US" "XNAS"
"Amarin Corp. Plc" "AMRN" 3.25 "US" "XNAS"
"Advaxis, Inc." "ADXS" 0 "US" "XNAS"
"American Vanguard Corp." "AVD" 16 "US" "XNYS"
"ALLETE, Inc." "ALE" 67.7 "US" "XNYS"
"Amplify Energy Corp." "AMPY" 3.45 "US" "XNYS"
"Aptinyx, Inc." "APTX" 2.71 "US" "XNAS"
"American Finance Trust, Inc." "AFIN" 9.27 "US" "XNAS"
"Atossa Therapeutics, Inc." "ATOS" 1.53 "US" "XNAS"
"Altisource Portfolio Solutions SA" "ASPS" 12 "US" "XNAS"
"Adverum Biotechnologies, Inc." "ADVM" 1.69 "US" "XNAS"
"Allscripts Healthcare Solutions, Inc." "MDRX" 17.66 "US" "XNAS"
"AMREP Corp." "AXR" 15.06 "CA" NA
"Aramark" "ARMK" 36.43 "US" "XNYS"
"Antero Midstream Corp." "AM" 10.21 "CA" NA
"Accel Entertainment, Inc." "ACEL" 12.75 "US" "XNYS"
"Agora, Inc. (China)" "API" 14.42 "AU" NA
"AMCON Distributing Co." "DIT" 182.65 "AU" NA
"AstroNova, Inc." "ALOT" 13.15 "US" "XNAS"
"Adaptive Biotechnologies Corp." "ADPT" 23.17 "US" "XNAS"
"ACCO Brands Corp." "ACCO" 8.3 "US" "XNYS"
"Agios Pharmaceuticals, Inc." "AGIO" 32.64 "US" "XNAS"
"Alerus Financial Corp." "ALRS" 29.85 "US" "XNAS"
"Ashford, Inc." "AINC" 18.63 "US" "XASE"
"Atento SA" "ATTO" 28.12 "US" "XNYS"
"ADTRAN, Inc." "ADTN" 20.4 "US" "XNAS"
"Adams Resources & Energy, Inc." "AE" 27.25 "US" "XASE"
"Arcadia Biosciences, Inc." "RKDA" 1.13 "US" "XNAS"
"Ares Capital Corp." "ARCC" 21.23 "US" "XNAS"
"Anika Therapeutics, Inc." "ANIK" 34.41 "US" "XNAS"
"Archer-Daniels-Midland Co." "ADM" 69.81 "LN" NA
"American National Bankshares, Inc. (Virginia)" "AMNB" 39.68 "US" "XNAS"
"Allied Esports Entertainment, Inc." "AESE" 1.86 "US" "XNAS"
"Autohome, Inc." "ATHM" 33.3 "US" "XNYS"
"Apellis Pharmaceuticals, Inc." "APLS" 44.06 "US" "XNAS"
"Athenex, Inc." "ATNX" 1.26 "US" "XNAS"
"Aerie Pharmaceuticals, Inc." "AERI" 7.72 "LN" NA
"Alliance Data Systems Corp." "ADS" 70.4 "AU" NA
"Ascendis Pharma A/S" "ASND" 116.58 "CA" NA
"36Kr Holdings, Inc." "KRKR" 1.08 "US" "XNAS"
"Applied Genetic Technologies Corp." "AGTC" 1.78 "US" "XNAS"
"Air Transport Services Group, Inc." "ATSG" 27.71 "US" "XNAS"
"Air Lease Corp." "AL" 46.18 "CA" NA
"Apyx Medical Corp." "APYX" 10.86 "US" "XNAS"
"Aspen Technology, Inc." "AZPN" 147.47 "US" "XNAS"
"Amalgamated Financial Corp." "AMAL" 17.49 "US" "XNAS"
"AcelRx Pharmaceuticals, Inc." "ACRX" 0.53 "US" "XNAS"
"Ameriprise Financial, Inc." "AMP" 319.34 "NZ" NA
"Applied Industrial Technologies, Inc." "AIT" 101.21 "US" "XNYS"
"Altria Group, Inc." "MO" 49.79 "US" "XNYS"
"Astra Space, Inc." "ASTR" 6.13 NA NA
"AG Mortgage Investment Trust, Inc." "MITT" 10.39 "US" "XNYS"
"AAR Corp." "AIR" 41.68 "LN" NA
"American Public Education, Inc." "APEI" 23.01 "US" "XNAS"
